C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_114.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_114.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_114.jpg,0,0,0,1.353106E-05
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_184.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_184.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_184.jpg,0,0,0,2.003527E-05
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_250.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_250.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_250.jpg,0,0,0,1.426289E-05
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_322.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_322.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_322.jpg,0,0.0592998,0,0.001792607
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_389.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_389.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_389.jpg,0,0.2451051,0,0.1553165
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_463.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_463.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_463.jpg,-0.05,0.4773498,0,0.4588842
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_531.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_531.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_531.jpg,-0.2,0.670432,0,0.8925464
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_601.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_601.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_601.jpg,-0.4,0.9077049,0,1.677584
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_669.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_669.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_669.jpg,-0.5500001,1,0,2.312282
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_736.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_736.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_736.jpg,0,1,0,3.184734
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_805.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_805.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_805.jpg,0,1,0,3.891835
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_872.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_872.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_872.jpg,0,1,0,4.593981
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_27_940.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_27_940.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_27_940.jpg,0,1,0,5.522795
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_28_008.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_28_008.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_28_008.jpg,0,1,0,6.214746
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_28_076.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_28_076.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_28_076.jpg,-0.1,1,0,7.129125
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_28_144.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_28_144.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_28_144.jpg,-0.25,1,0,7.799015
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_28_210.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_28_210.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_28_210.jpg,-0.4,1,0,8.451652
C:\Users\91639\Desktop\self_driving_car\IMG\center_2023_11_12_10_13_28_283.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\left_2023_11_12_10_13_28_283.jpg,C:\Users\91639\Desktop\self_driving_car\IMG\right_2023_11_12_10_13_28_283.jpg,0,1,0,9.317462
